id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,backdrop_path,budget,homepage,imdb_id,original_language,original_title,overview,popularity,poster_path,tagline,genres,production_companies,production_countries,spoken_languages,keywords
264644,Room,8.033,8684,Released,2015-10-16,35401758,118,False,/i8aK8cGt5iYfMmUJiAe5AKIqYE5.jpg,13000000,https://a24films.com/films/room,tt3170832,en,Room,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",17.002,/dIxoYFcj6EqD5KScuU8lWCftnvH.jpg,Love knows no boundaries,"Drama, Thriller","Elevation Pictures, Téléfilm Canada, Element Pictures, FilmNation Entertainment, No Trace Camping, Film4 Productions, Fís Éireann/Screen Ireland","Canada, Ireland, United Kingdom, United States of America",English,"based on novel or book, escape, isolation, carpet, kidnapping, imprisonment, grandparents, hospital, dog, captive, children's perspectives, skylight, mother son relationship"
736074,"Batman: The Long Halloween, Part Two",7.459,447,Released,2021-07-26,0,87,False,/oSogG5fpITtg11UGz8tfRNfuMeA.jpg,0,https://www.warnerbros.com/movies/batman-long-halloween-part-2,tt14402926,en,"Batman: The Long Halloween, Part Two","As Gotham City's young vigilante, the Batman, struggles to pursue a brutal serial killer, district attorney Harvey Dent gets caught in a feud involving the criminal family of the Falcones.",17.002,/f46QMSo2wAVY1ywrNc9yZv0rkNy.jpg,The clock is ticking. The days are numbered. The end has just begun.,"Animation, Mystery, Action, Crime","DC Entertainment, Warner Bros. Animation",United States of America,English,"holiday, superhero, aftercreditsstinger, dcamu (tomorrowverse)"
265177,Mommy,8.251,2534,Released,2014-09-19,3494070,138,False,/dIHezuC3AmylT8mkXQiWSjz2wJR.jpg,4900000,http://mommythemovie.com/,tt3612616,fr,Mommy,"A peculiar neighbor offers hope to a recent widow who is struggling to raise a teenager who is unpredictable and, sometimes, violent.",16.999,/u5jbTMqze9U2nEhfFJmtDXxc89m.jpg,,Drama,"Metafilms, Sons of Manual",Canada,"French, English","canada, parent child relationship, karaoke, quebec, dysfunctional family, coming of age, single mother, juvenile delinquent, mental illness, dream sequence, institutionalization, oedipus complex, behavioral disorders, mother son relationship"
44977,Dhoom 3,6.0,244,Released,2013-12-19,91000000,171,False,/3SmbEb7T2Ypg5vBwLflLeVXkkQ1.jpg,19500000,,tt1833673,hi,धूम ३,"To avenge his father's death, a circus entertainer trained in magic and acrobatics turns thief to take down a corrupt bank in Chicago. Two cops from Mumbai are assigned to the case.",16.996,/rUVTM5EQUQ2I0fcfE46AkvBYWae.jpg,,"Action, Adventure, Crime, Thriller","Yash Raj Films, Dhoom Studios",India,"English, Hindi","circus, bank robber, sequel, heist, bank heist, motorcycle chase"
11968,Into the Blue,5.885,1377,Released,2005-09-30,46117696,110,False,/5214eZML0xstPIfV1ldkBOheZYT.jpg,50000000,,tt0378109,en,Into the Blue,"When they take some friends on an extreme sport adventure, the last thing Jared and Sam expect to see below the shark-infested waters is a legendary pirate ship rumored to contain millions of dollars in gold. But their good fortune is short-lived, as a ruthless gang of criminals gets word of what they have uncovered.",16.996,/h5oXcjRu0EOiAxSxYuGq58897tu.jpg,Treasure has its price.,"Action, Thriller, Adventure, Crime","Mandalay Pictures, Metro-Goldwyn-Mayer, Columbia Pictures",United States of America,English,"treasure, airplane, diving, shipwreck, cocaine, shark attack, sailing, bahamas, treasure hunt, wrack, scuba diving, shark, scuba, adventurer"
1600,The Double Life of Véronique,7.524,686,Released,1991-05-15,1999955,98,False,/3ekis9Ry3lNwRzfh5rRhkLqfeVm.jpg,0,,tt0101765,fr,La Double Vie de Véronique,"Véronique is a beautiful young French woman who aspires to be a renowned singer; Weronika lives in Poland, has a similar career goal and looks identical to Véronique, though the two are not related. The film follows both women as they contend with the ups and downs of their individual lives, with Véronique embarking on an unusual romance with Alexandre Fabbri, a puppeteer who may be able to help her with her existential issues.",16.995,/oqRyO9xrNBRaxqF9pCHHgLuaATx.jpg,"Each of us is matched somewhere in the world, by our exact double - someone who shares our thoughts and dreams.","Drama, Mystery, Fantasy","Sidéral Productions, Zespól Filmowy ""Tor"", Norsk Film, Canal+","France, Norway, Poland","French, Italian, Polish","music teacher, kraków, poland, puppeteer, heart disease, fake identity, puppet, poland, chorus, doppelgänger, parallel lives, soprano, warsaw, poland, choral music, marionettes"
127560,The Railway Man,6.86,672,Released,2013-12-02,24174885,116,False,/qJNA7GOqwJj0pGeuHSWiMDdq3S9.jpg,18000000,,tt2058107,en,The Railway Man,"A victim from World War II's ""Death Railway"" sets out to find those responsible for his torture. A true story.",16.992,/yuADLCxGCA5rFWk2QDXvX5plBrD.jpg,Revenge is never a straight line.,"Drama, History","Archer Street Productions, Pictures in Paradise, Latitude Media, Thai Occidental Productions, Silver Reel, Lionsgate","Australia, Switzerland, United Kingdom",English,"post-traumatic stress disorder (ptsd), world war ii, victim, redemption, based on true story, autobiography, revenge, torture"
458305,Vivarium,6.08,1797,Released,2019-09-07,487625,97,False,/zLa8fA7boGtNoNH7n6iYi9UqoaH.jpg,3947600,https://www.vertigoreleasing.com/portfolio/vivarium/,tt8368406,en,Vivarium,"A young woman and her fiancé are in search of the perfect starter home. After following a mysterious real estate agent to a new housing development, the couple finds themselves trapped in a maze of identical houses and forced to raise an otherworldly child.",16.99,/myf3qzpeN0JbuFRPwSpJcz7rmAT.jpg,You're home. Forever.,"Science Fiction, Thriller, Mystery, Horror","Fantastic Films, Frakas Productions, Lovely Productions, XYZ Films, PingPongFilm, Saban Films","Belgium, Denmark, Ireland",English,"baby, suburbia, suburb, trapped, body bag, real estate agent, backrooms"
39206,Detective Conan: Jolly Roger in the Deep Azure,6.618,110,Released,2007-04-21,0,110,False,/h5RPSswlgc2KvvkvfW7pipBtPLo.jpg,0,https://www.tms-e.co.jp/global/alltitles/conan/087311.html,tt1146290,ja,名探偵コナン 紺碧の棺 （ジョリー・ロジャー）,"The Isle of Koumi, a beautiful island in the Pacific Ocean. On the island, people pass an old legend down from generation to generation that there was the Seabed Palace, an ancient ruin at the bottom of the sea, where the treasure of 2 female pirates, Anne Bonnie & Mary Reed (who really existed 300 years ago), was left. When Conan and his friends visit Koumi Island while on vacation, they meet some treasure hunters. There was something suspicious about them.",16.989,/3qiBRbIsfpw6O32TfD1FZ81MiKw.jpg,,"Animation, Adventure","TMS Entertainment, TOHO",Japan,Japanese,
11087,The Hand that Rocks the Cradle,6.851,808,Released,1992-01-10,88036683,110,False,/l3qZ3wYF0iRCrWuYTSMsp70qiH9.jpg,11700000,,tt0104389,en,The Hand that Rocks the Cradle,"A suburban family chooses seemingly sweet Peyton Flanders as their newborn's nanny. Only much later does the infant's mother, Claire Bartel, realize Peyton's true intentions -- to destroy Claire and replace her in the family. The nail-biting suspense builds quickly in this chilling psychological thriller about deception and bitter revenge.",16.986,/1fBnyO3SbNBplck45js6O4pQaLw.jpg,Trust is her weapon. Innocence her opportunity. Revenge her only desire.,"Drama, Thriller","Hollywood Pictures, Interscope Communications, Nomura Babcock & Brown",United States of America,English,"rage and hate, loss of loved one, nanny, destroy, family's daily life, infant, childlessness, malice, desire to have children, child"
